row,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20
u11,0.183132087272497,0.226410890036277,0.282473777701853,0.354762974552614,0.44964263423708,0.565975177835298,0.699753321953267,0.839343528014069,0.962522506142705,-25.6221035499493,60.343114682837,-25.6692109346091,0.868983107693566,0.699822066962952,0.520714316110116,0.35181919599836,0.209089989766653,0.101823260933998,0.0333223226789414,0
u12,0.140902400858067,0.17414905073565,0.217021600690259,0.271920441718976,0.34256011360867,0.435259472908456,0.548796919019878,0.678398492937049,0.811501088548994,0.926002918788527,-25.6692109346091,60.2911704561393,-25.7431048922285,0.778988251681767,0.603862915227182,0.423290913431629,0.260363286486154,0.131161748129216,0.0429610125252111,0
u13,0.106041220249153,0.131066535402624,0.163269930908427,0.204321892738335,0.256816434784923,0.324684457098101,0.413932355058932,0.522838661254355,0.645501962992512,0.768222818692266,0.868983107693566,-25.7431048922285,60.2539330429863,-25.8594118562883,0.653629150804136,0.476630290791036,0.304390468386373,0.159440460834048,0.0551457546293932,0
u14,0.0769640351450107,0.0951391854187023,0.118511422897427,0.148238044062055,0.186090964859886,0.234778241292588,0.29819791080854,0.381664122528491,0.48257629003956,0.593623639133511,0.699822066962952,0.778988251681767,-25.8594118562883,60.2278255712463,-26.0202741131366,0.489159823757745,0.322853210832363,0.174135728059355,0.0615525408420581,0
u15,0.0533015409587279,0.0658955556787078,0.0820913115262556,0.102671826596179,0.128817490008259,0.162322244534607,0.205798578178928,0.262764743297339,0.337586847365401,0.426511093110093,0.520714316110116,0.603862915227182,0.653629150804136,-26.0202741131366,60.2148446660067,-26.2040870779856,0.316747517103977,0.176981806987442,0.0646691589167858,0
u16,0.0344137163210689,0.0425471213816309,0.0530086197159108,0.0663012755808268,0.0831706259418752,0.104741459949764,0.132650157524949,0.169130487392977,0.217029594296037,0.279618816989569,0.35181919599836,0.423290913431629,0.476630290791036,0.489159823757745,-26.2040870779856,60.2195150634088,-26.3851454462838,0.163300661881749,0.0618930684481711,0
u17,0.0200055083610096,0.0247339926318091,0.0308167713569674,0.0385472986863533,0.04835492006805,0.0608824990422363,0.0770622676782295,0.0981692949153512,0.12585452680014,0.162117785862392,0.209089989766653,0.260363286486154,0.304390468386373,0.322853210832363,0.316747517103977,-26.3851454462838,60.2491752488277,-26.5319428649491,0.0531219512822645,0
u18,0.0097536201337789,0.0120591536756365,0.0150249590546991,0.0187947435392744,0.0235777619650435,0.0296848767789015,0.037564973354165,0.0478324935215824,0.061286264951832,0.0789086129771022,0.101823260933998,0.131161748129216,0.159440460834048,0.174135728059355,0.176981806987442,0.163300661881749,-26.5319428649491,60.3067960014414,-26.6264992276888,0
u19,0.00319442250429347,0.00394937416103858,0.00492086371650657,0.00615543171988975,0.00772200081655683,0.00972271152477333,0.0123028698340022,0.0156624935243599,0.0200621741441864,0.025824320459833,0.0333223226789414,0.0429610125252111,0.0551457546293932,0.0615525408420581,0.0646691589167858,0.0618930684481711,0.0531219512822645,-26.6264992276888,60.3803584908746,-26.6666667414484
u20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.6666667414484,44.4444452796233
